language,dialect,accent,text
Unclassified,Dezfuli (Iran),Dezfuli,بيشترشونِ پِر اولِ ببينُم
Unclassified,Dezfuli (Iran),Dezfuli,اِی جون سی شهرِمون
Unclassified,Dezfuli (Iran),Dezfuli,کلی سلام وَر زنون کُرد كل دنيا اَ كرمانشاه تا كُردستان
Unclassified,Dezfuli (Iran),Dezfuli,هر وقت نونِ پخت بُنگِمُنِ كُرد. اومون بچونَ قطار وَرِش بنِشستيم و منتظر بمونديم تا نون ری تُوَ بِبِريزِس و بِ داد دَسِمون
Unclassified,Dezfuli (Iran),Dezfuli,بُردِنُ و اُوُردِن
Unclassified,Dezfuli (Iran),Dezfuli,قيل و قال
Unclassified,Dezfuli (Iran),Dezfuli,به اَمون خدا
Unclassified,Dezfuli (Iran),Dezfuli,اَر خدا نَخو، برگی اَ درخت نَم اُفتَه
Unclassified,Dezfuli (Iran),Dezfuli,اَر نخُوَرديم نون گندم، اما ديدُم دست مردم
Unclassified,Dezfuli (Iran),Dezfuli,عوُان چيَه كِ تا دست مِن تييَش نكنی،دونِشِ نَمگُشَ؟
Unclassified,Dezfuli (Iran),Dezfuli,مَر وَرِت زنگ نَزَدُن؟
Unclassified,Dezfuli (Iran),Dezfuli,قيلِ و قال
Unclassified,Dezfuli (Iran),Dezfuli,عاجز
Unclassified,Dezfuli (Iran),Dezfuli,گُرُختَن
Unclassified,Dezfuli (Iran),Dezfuli,گوئُم چَقذَر مخو خوش گُذَردَ
Unclassified,Dezfuli (Iran),Dezfuli,لعنت وَر بوئَت
Unclassified,Dezfuli (Iran),Dezfuli,هكرا اُمون اَ هيچكی كمتر نَيسِن
Unclassified,Dezfuli (Iran),Dezfuli,ايان خيلی خوبَ
Unclassified,Dezfuli (Iran),Dezfuli,فقط صبر سی یکی از بازیا شِرینت
Unclassified,Dezfuli (Iran),Dezfuli,سی تشِ نويی صبرِ كنيم
Unclassified,Dezfuli (Iran),Dezfuli,یعنی نَمسازِهَ
Unclassified,Dezfuli (Iran),Dezfuli,اَرچِ ده تا كارگر دارَ، پونزده سال طولِ كَشَ
Unclassified,Dezfuli (Iran),Dezfuli,مَرسی بقیه مردمم پِ طَيارِ بِرُوِن لوگار
Unclassified,Dezfuli (Iran),Dezfuli,ساختن ای فرودگاهم لِف رفتن بِ مريخَ
Unclassified,Dezfuli (Iran),Dezfuli,كرم اَ خود درختَ
Unclassified,Dezfuli (Iran),Dezfuli,دَر باغَ كه ديديم مَرِسی كلِ باغَ ديديمَ
Unclassified,Dezfuli (Iran),Dezfuli,قِصَنِ اَر مِ شيشه هم كُنی دَرزِ كُنِ در
Unclassified,Dezfuli (Iran),Dezfuli,قصه تا مِنِ دِلتَ مالِ خوتَ
Unclassified,Dezfuli (Iran),Dezfuli,دلت سفره نی كه وَر كل گُشيِش
Unclassified,Dezfuli (Iran),Dezfuli,خرسِ بَسِنِ به آهنگری
Unclassified,Dezfuli (Iran),Dezfuli,اَر وَنت اوِ مِن هاونِ كند كويی نَمهِلَت بيكار بويی
Unclassified,Dezfuli (Iran),Dezfuli,کور اَر نَروِ بازار، بازار گَندَ
Unclassified,Dezfuli (Iran),Dezfuli,كارِت تَمومَ
Unclassified,Dezfuli (Iran),Dezfuli,چَه كن هميشه ته چه است
Unclassified,Dezfuli (Iran),Dezfuli,قیْمت غذا نسبت به حجم غذا خيلی خیلی گرون است ساندویچ هیولای ژامبون در حد بچه غول هم نَبيد و اصنم هم خوشمزه نبید ولی ساندویچ چوریتسو عالی و بسیار بسیار خوشمزه بید
Unclassified,Dezfuli (Iran),Dezfuli,بی زحمت اَ عكسا اينترنتی استفاده نكنيد و عكس همون چيه وَنيد. خُب ای كجا و او كجا. متاسفم
Unclassified,Dezfuli (Iran),Dezfuli,كَپِس بيد
Unclassified,Dezfuli (Iran),Dezfuli,اَ جا كيك وانيلی کاکائویی، کیک کاکائویی ساده فِرستادِن بيد
Unclassified,Dezfuli (Iran),Dezfuli,خورشش مِزه اوِ داد و ٩٥٪؜ حجم قيمش لپه بيد. اصن نَمگُمِت گِری
Unclassified,Dezfuli (Iran),Dezfuli,خیلی خوب و سر وقت، ممنونم
Unclassified,Dezfuli (Iran),Dezfuli,حجم ساندویچش کلا نصف بوِس بيد
Unclassified,Dezfuli (Iran),Dezfuli,همه چی خوب، فقط جای یَ چنگال خالی بید
Unclassified,Dezfuli (Iran),Dezfuli,کَلِ بيد و بو گوشتِ داد
Unclassified,Dezfuli (Iran),Dezfuli,اول اين كه بو بدی بداد بعدشم به همه چی بُرد الا رست بیف. مُنِ يادِ گوشت آب پز مِن ديزی بِس. خیلیِ فيس بيد. نونش راق بيد و بد مِزِه. زیاد او نریزید مِنِش. بعد ايان اَ ايچون دَ گِ چی نَمخوام
Unclassified,Dezfuli (Iran),Dezfuli,پَ اَچِ نَميايی؟
Unclassified,Dezfuli (Iran),Dezfuli,اُمونَم بِمياييم
Unclassified,Dezfuli (Iran),Dezfuli,دِ يَلا
Unclassified,Dezfuli (Iran),Dezfuli,پَ كِجايی كَسونُم؟
Unclassified,Dezfuli (Iran),Dezfuli,دِ بيا روييم نهار خورييم. وِيلَتِه چِ فِگِری خُوَردَم، دِلُم شيوِس
Unclassified,Dezfuli (Iran),Dezfuli,مُنُ تونو حسن
Unclassified,Dezfuli (Iran),Dezfuli,گل و بلبل و سنبل
Unclassified,Dezfuli (Iran),Dezfuli,۵+۴+۳
Unclassified,Dezfuli (Iran),Dezfuli,اوخِی پَ اَچِ نَومِيیَ
Unclassified,Dezfuli (Iran),Dezfuli,قَلُم بُرِس
Unclassified,Dezfuli (Iran),Dezfuli,پَ اَچِ اَقدَر فس فسِ كُنی
Unclassified,Dezfuli (Iran),Dezfuli,اَ يَرَ دِگِ ايطور بييِس پِيِش دعوا كُنُم
Unclassified,Dezfuli (Iran),Dezfuli,اَ چَن خوب بيد دِلُم شِوِس
Unclassified,Dezfuli (Iran),Dezfuli,سی چِ؟
Unclassified,Dezfuli (Iran),Dezfuli,مِ كار يا شخص خطرناكی دَر اوفتيديِه
Unclassified,Dezfuli (Iran),Dezfuli,خدا دونِه خجيجه
Unclassified,Dezfuli (Iran),Dezfuli,ايسون هم عَقذَر شَنگولی خوب نی
Unclassified,Dezfuli (Iran),Dezfuli,مَر كسی وَندَ دومات
Unclassified,Dezfuli (Iran),Dezfuli,نون گَنُم سی هضمِش گَدِ فولادی مَخو
Unclassified,Dezfuli (Iran),Dezfuli,ای شخص خیلی كَلولَ
Unclassified,Dezfuli (Iran),Dezfuli,چَقو تيز سی بره نر اومَسَ
Unclassified,Dezfuli (Iran),Dezfuli,سی خودت خُوَر سی مردم پوش
Unclassified,Dezfuli (Iran),Dezfuli,سُفره بويَت سَر كيچَس
Unclassified,Dezfuli (Iran),Dezfuli,ای شکوفه‌ها چَقذَر قشنگن
Unclassified,Dezfuli (Iran),Dezfuli,هوشتون
Unclassified,Dezfuli (Iran),Dezfuli,خدا خرُ اِشناخت كه شاخ نداش
Unclassified,Dezfuli (Iran),Dezfuli,مارِ كُشتَ اما بچشو هَشتِ زِندَ
Unclassified,Dezfuli (Iran),Dezfuli,جنگلی که شتر دیدَ
Unclassified,Dezfuli (Iran),Dezfuli,تیِ زمسّون كورَ
Unclassified,Dezfuli (Iran),Dezfuli,گربَنَ لرزُندِش
Unclassified,Dezfuli (Iran),Dezfuli,صِدقِ سرت عيبی ندارَ
Unclassified,Dezfuli (Iran),Dezfuli,پِتِش چَقدَر تَپُسَ لُواش لِف قين عنترِن 
Unclassified,Dezfuli (Iran),Dezfuli,مَرِسی عَ قين فيل اُفتيدَ  
Unclassified,Dezfuli (Iran),Dezfuli,تو نو خدا فَرما هوُش 
Unclassified,Dezfuli (Iran),Dezfuli,عبده ایی یان کی بید؟
Unclassified,Dezfuli (Iran),Dezfuli,غلوم پِ اُرِ سیَه اومَّه دخترَ برد قصر شاه پریون.
Unclassified,Dezfuli (Iran),Dezfuli,ای وب چَنی قشنگَه
Unclassified,Dezfuli (Iran),Dezfuli,مَخوم یَقه‌مَه دِروم
Unclassified,Dezfuli (Iran),Dezfuli,تَش به كارِت 
Unclassified,Dezfuli (Iran),Dezfuli,هر چه مارِش دوُنا بيد خودش مَرِسی زِيَس 
Luri,"Luri, Southern (Iran)",General,داروم ایروم
Luri,"Luri, Southern (Iran)",General,ای خرسم ینه خرد ایپوکه
Luri,"Luri, Southern (Iran)",General,گسنمه
Luri,"Luri, Southern (Iran)",General,مو چویی نیخروم
Luri,"Luri, Southern (Iran)",General,عالی بی دورت بگردوم
Luri,"Luri, Southern (Iran)",General,افتو و کمو ور زیده بالا
Luri,"Luri, Southern (Iran)",General,وونه خدا زیدشه
Luri,"Luri, Southern (Iran)",General,چه درست کردیه
Luri,"Luri, Southern (Iran)",General,دورل دارن ایرن
Luri,"Luri, Southern (Iran)",General,دورل داشتن ایرفتن
Luri,"Luri, Southern (Iran)",General,دکترل ایگن گیروسن سی چن چی خوبه. خلاص وبیدن از فشار استرس و تحمل درد و غم و غصه
Luri,"Luri, Southern (Iran)",General,او مربا خردن داره
Luri,"Luri, Southern (Iran)",General,من عمرم چنن غذی نخردمه
Luri,"Luri, Southern (Iran)",General,برو بونکو چطرن
Luri,"Luri, Southern (Iran)",General,دستون درد نکنه سی ای کلیپ بابت گیوه هرسینی
Luri,"Luri, Southern (Iran)",General,ای واویلا که ارث بوامون که بی پناه موندنه
Luri,"Luri, Southern (Iran)",General,بیشترشونه بار اولیه که ایبینوم
Luri,"Luri, Southern (Iran)",General,ای جون سی شهرمون
Luri,"Luri, Southern (Iran)",General,درود فراوان و زنل کورد سراسر دنیا و کرمونشاه تا کردستون
Luri,"Luri, Southern (Iran)",General,هر وقت که نون ایپخت بونگمون ایزد. ایما بچیل وصف تیش اینشسیم و تیمون و توه بی تا نون برشته وابو و بدن دستمون
Luri,"Luri, Southern (Iran)",General,بردن و اوردن
Luri,"Luri, Southern (Iran)",General,قیل و قال
Luri,"Luri, Southern (Iran)",General,خدا پشت و پنات بو
Luri,"Luri, Southern (Iran)",General,ای نه امر خدا بو برگی و درخت نیفته
Luri,"Luri, Southern (Iran)",General,ای نخردیم نون گندم، ولی دییمه دست مردم
Luri,"Luri, Southern (Iran)",General,وو چنه که تا دست من تیش نکنی دهوونش واز نیبو
Luri,"Luri, Southern (Iran)",General,می وت زنگ نزهنه
Luri,"Luri, Southern (Iran)",General,قال
Luri,"Luri, Southern (Iran)",General,خسه
Luri,"Luri, Southern (Iran)",General,گروختن - گروهتن
Luri,"Luri, Southern (Iran)",General,وم بگو قراره چق خوش بگذرده
Luri,"Luri, Southern (Iran)",General,نعلت و بوت
Luri,"Luri, Southern (Iran)",General,هکرل ایمو و همه بخترن
Luri,"Luri, Southern (Iran)",General,مهلی خوب ایبو
Luri,"Luri, Southern (Iran)",General,فق منتظر یکی و بوزیل خووت بو
Luri,"Luri, Southern (Iran)",General,تیمونه و روزل خوب دختیمه
Luri,"Luri, Southern (Iran)",General,ینی هیچ وقت تمام نیبو
Luri,"Luri, Southern (Iran)",General,ده نفری ریش کار ایکنن پونزده سال طول ایکشه
Luri,"Luri, Southern (Iran)",General,فکر ایکونوم بوقیشین بی هواپیما ایرن لوگار
Luri,"Luri, Southern (Iran)",General,ساخت ای فرودگاهم می مریخ رهتنه
Luri,"Luri, Southern (Iran)",General,دار میوه کرم و خوشه
Luri,"Luri, Southern (Iran)",General,در باغه که دیمه تا بن باغم دیدیمه
Luri,"Luri, Southern (Iran)",General,ای گپه من شیشه کنی هم ایزنه در
Luri,"Luri, Southern (Iran)",General,تا حرف من دلته من دسته
Luri,"Luri, Southern (Iran)",General,دل نه سفره ی که تی همه پهنش کنی
Luri,"Luri, Southern (Iran)",General,خرس به اهنگری بسنه
Luri,"Luri, Southern (Iran)",General,ای همی یو بود که اوه وت بده من هاون بکوبی ایدت
Luri,"Luri, Southern (Iran)",General,کور ای نره بازار بازار گند ایکنه
Luri,"Luri, Southern (Iran)",General,د کارت تمومه
Luri,"Luri, Southern (Iran)",General,چه کن همیشه من بن چهیه
Luri,"Luri, Southern (Iran)",General,ایقد غذا و قیمتش نیارزه ساندویچ هیولای ژامبون قد بچه غولم نبی و اصن طوم نداشت اما ساندویچ چوریتسو خوب و خوش طوم بید
Luri,"Luri, Southern (Iran)",General,لطف کنین و عکسل اینترنتی استفاده نکنید و عکس محصولتونه بیلین. یو کجا و وو کجا. متاسفم
Luri,"Luri, Southern (Iran)",General,و کل خرد و بر ووبی
Luri,"Luri, Southern (Iran)",General,جی کیک وانیلی کاکایویی کیک کاکایویی بسی کردنه
Luri,"Luri, Southern (Iran)",General,خورشش طوم او ایداد همشم لپه بی. مو هم نیگوم که بسونین
Luri,"Luri, Southern (Iran)",General,مهلی خش بی و سر وقت. ممنونم
Luri,"Luri, Southern (Iran)",General,ساندویچش نصف ووبیده
Luri,"Luri, Southern (Iran)",General,عالی بی فقط جی چنگال خالی بی
Luri,"Luri, Southern (Iran)",General,مهلی بی نمک بی او بوی ضخم گوشت ایدا
Luri,"Luri, Southern (Iran)",General,اولش یه که بد بو بی دومش یه که و هرچه ایخه غیر رست بیف طری که مونه ویاد گوشت من اوگوشت انداخت. خیلی اوکی بی و نونشم خشک و بد طوم بی. نسبت اوشه حفظ کنین. بار اخره که اینجو سفارش ایدم
Luri,"Luri, Southern (Iran)",General,سی چه نیی
Luri,"Luri, Southern (Iran)",General,ما هم اییم
Luri,"Luri, Southern (Iran)",General,زی وو
Luri,"Luri, Southern (Iran)",General,په کوونی عزیزوم
Luri,"Luri, Southern (Iran)",General,بیو بریم چاس بخریم. نه یچی آشغالی خردمه دلمه ایچی ونه
Luri,"Luri, Southern (Iran)",General,مو و تو و حسن
Luri,"Luri, Southern (Iran)",General,گل و بلبل و سنبل
Luri,"Luri, Southern (Iran)",General,پنج و چار و سه ریک
Luri,"Luri, Southern (Iran)",General,په سیچه نیی
Luri,"Luri, Southern (Iran)",General,کمرم اشکست
Luri,"Luri, Southern (Iran)",General,نیخو این کاره فس فس کنی و معطل کنی
Luri,"Luri, Southern (Iran)",General,ای یه دفعه دیه ایچنو ووبی دعواش ایکنم
Luri,"Luri, Southern (Iran)",General,از بی خوب بی کم درد گرفتم
Luri,"Luri, Southern (Iran)",General,سیچه 
Luri,"Luri, Southern (Iran)",General,قد یه ادم خطرناکی خرده
Luri,"Luri, Southern (Iran)",General,خدا ایدونه خدیجه
Luri,"Luri, Southern (Iran)",General,ایقدم نخوبه که هی بگی و بخندی
Luri,"Luri, Southern (Iran)",General,می کسی دین داته
Luri,"Luri, Southern (Iran)",General,نون گنم سی هضم کم اهنی ایخو
Luri,"Luri, Southern (Iran)",General,و دستش او توک نیکنه - ای ادم مهلی گنسه
Luri,"Luri, Southern (Iran)",General,چاقوی تیز سی بره ی نره
Luri,"Luri, Southern (Iran)",General,سی خوت بخر سی مردم بپوش
Luri,"Luri, Southern (Iran)",General,سفره بوت سر کیچه ی
Luri,"Luri, Southern (Iran)",General,ای شکوفیل چق قشنگن
Luri,"Luri, Southern (Iran)",General,هونتون
Luri,"Luri, Southern (Iran)",General,خدا خرو دید و شاخش نداد
Luri,"Luri, Southern (Iran)",General,مارو کشته تیله مارو نهاده
Luri,"Luri, Southern (Iran)",General,جنگلی شتر دیده
Luri,"Luri, Southern (Iran)",General,تیی زمسون کوره
Luri,"Luri, Southern (Iran)",General,گلوه تشی کرده
Luri,"Luri, Southern (Iran)",General,و جهنم فدی سرت
Luri,"Luri, Southern (Iran)",General,پوزش چق پهنه لولش می کون عنتره
Luri,"Luri, Southern (Iran)",General,انگار از پشت فیل افتایه
Luri,"Luri, Southern (Iran)",General,تن خدا بیو من هونه
Luri,"Luri, Southern (Iran)",General,یه که بی
Luri,"Luri, Southern (Iran)",General,غلوم بی اور سه اومد و دور به قصر شاه پریون برد
Luri,"Luri, Southern (Iran)",General,ای سایت چق قشنگه
Luri,"Luri, Southern (Iran)",General,ایخوم حقمه بدرروم
Luri,"Luri, Southern (Iran)",General,تش وکارت بو
Luri,"Luri, Southern (Iran)",General,هر چه دیش عاقل بی خوش کلوعه
Caspian,Mazandarani (Iran),Tonekaboni,داره بوشُم
Caspian,Mazandarani (Iran),Tonekaboni,خرس اَنه بوخاره، ترکنه (اینه مو ریزنه)
Caspian,Mazandarani (Iran),Tonekaboni,مِره وشنایه
Caspian,Mazandarani (Iran),Tonekaboni,چای نوخارنُم
Caspian,Mazandarani (Iran),Tonekaboni,عالی با؛ ماچ تی جان، تی قربان بوشُم
Caspian,Mazandarani (Iran),Tonekaboni,آفتاب کُدام سَمت در بومه؟
Caspian,Mazandarani (Iran),Tonekaboni,اونه خدا بزه.
Caspian,Mazandarani (Iran),Tonekaboni,چی درست اَکوردی
Caspian,Mazandarani (Iran),Tonekaboni,کیجایِشان دارن بوشن
Caspian,Mazandarani (Iran),Tonekaboni,کیجایِشان دَبون بوشن
