language,dialect,accent,source,original_text,standard_persian_translation,english_translation,dezfuli_translation,dezfuli_transliteration,lori_translation,lori_transliteration,tonekaboni_translation,tonekaboni_transliteration,semnani_translation,semnani_transliteration,southern_kurdish_kalhori_translation,southern_kurdish_kalhori_transliteration,zoroastrian_yazdi_transliteration,dari_translation,isfahani_translation,isfahani_transliteration,shirazi_translation,shirazi_transliteration,khorasani_translation,khorasani_transliteration
Kurdish,Southern Kurdish,Southern Kurdish,Manual,ره‌وانناسه‌گان خاسییه‌یل فره‌ێگ ئه‌ڕاێ گیره‌ کردن شمارینه‌ و گیره‌ کردن ڕێگه‌ێ ئه‌ڕاێ ئازاد بین له‌ ده‌س فشار و ئسترسه‌یل ژیان و تاوشت ژان و خه‌م و خوسه‌ زانستنه‌.,روانشناسان خاصیت‌های بسیاری را برای گریه‌کردن برشمرده‌اند و گریه کردن را برای رها شدن از فشار استرس و تحمل درد و غم و غصه می‌دانند.,"Psychologists have identified many attributes of crying and consider it a means of releasing stress, enduring pain, and coping with sadness and grief.",روانشناسون خواص زياديَه سی گِريوِسَن گُفتِنَ و گِريوِسَن را سی گُرُختَن اَ فشار غُصَ دونِن.,ravānshenāson khavāse ziyādieh si gerivesan goften va gerivesan rā si gorokhtan a feshāre ghoseh donen,دکترل ایگن گیروسن سی چن چی خوبه. خلاص وبیدن از فشار استرس و تحمل درد و غم و غصه,doktoral igan girvestan si chan chi khubeh khalās vobidan az feshāre esteres va tahamole dadrdo ghamo ghoseh,روان‌شناسشون بُرمِه کردنه خیلی خاصیت دانن و گونن بُرمِه کردن راهی هسه از فشار و استرس رها بِبی و درد و غم و غصه‌ره تحمل اَکُنی.,rawānshenaseshan borme kardane kheili khāsiat dānen va gunen borme kardan rāhi hesse az feshār o esteres rāhā bebi va darde o ghamo ghosare tahamol akoni.,رٍوانشٍناسی بُرمِه رَه خاصییٍّتی زیادی بٍشمارچیشُن و بُرمَه بٍجٍندییُن بٍرایی فٍشار و دٍلواسِه وُ تَحَمُّلی دَردی و غَم و غُصتِه خُوْ مٍزُنَن.,revānshenāsi borme ra khāsiyyeti ziyādi beshmārchishon o borma bejendiyon berāyi feshār o delvāse vo tahammoli dardi o gham o ghoste khow mezonan.,ره‌وانناسه‌گان خاسییه‌یل فره‌ێگ ئه‌ڕاێ گیره‌ کردن شمارینه‌ و گیره‌ کردن ڕێگه‌ێ ئه‌ڕاێ ئازاد بین له‌ ده‌س فشار و ئسترسه‌یل ژیان و تاوشت ژان و خه‌م و خوسه‌ زانستنه‌.,rawānnāsagān khāsieyle fereig arrāy gira kerden shemārina wa gira kerden rrigey arrāy āzād bin la dase feshār wa estereseyle zhian wa tāweshte khamu khossa zānestena.,ravānshenāsa kheyli khāsiat māle shakārtvun shnevāta o shakārtvun ro māle prār az feshāre delhora o tahamole dard o gham o ghosa zonan. ,روانشناسا خاصیت های زیادی ره برای گریه کدن گفتن و گریه کدن ره برای خلاص شدن از فشار استرس و تحمل درد و غم و غصه میدانن.,روانشناسا خاصیِتا زیادی را برای گریه‌کردن گفته‌ن آ گریه کردنا برا رها شدن اِز فشاری استرس آ تحملی درد آ غم آ غصه می‌دونن.,ravānshenāsā khāsiyetā ziyādi rā barā geryee kardan goftaan ā gerye kardanā barā rahā shodan ez feshari esteres ā tahammoli dard ā qam ā qosse midunan,روانشناسا خواص زیادی بری گریه کِردن در اُوردن و گریه کِردنِه بری رها شدن از فشار استرس و تحمل درد و غم و غصه می‌دونن.,Ravānshenāsā khavāse ziādi barey geryeh kerdan dar ovordan va geryeh kerdane barey rahā shodan az feshāre esteres va tahammole dardo ghamo ghose midunan.,امام رضا (ع),emâm rezâ ('a)
Kurdish,Southern Kurdish,Southern Kurdish,Manual,او مربا خواردن دری,اون مربا خوردن داره,That jam deserves to be eaten,ای مربا خُوَردَن دارَ.,i morabā khowrdan dāra,او مربا خردن داره,u morabā khardan dāreh,اون مربا خوردن داره.,un morabā khordan dare.,اون مُرٍبّا بُخوردییُن دارِه,oun morebbā bokhurdiyon dāre,او مربا خواردن دری,ow morabbā khwārden dere,o morabāe khārtvun dāra.,او مربا خوردن داره,اون مربا خوردن دارِد.,un morabbā khordan dared,او مربُو خوردن داره,U morabow khordan dāreh,کتاب رِه به او دادم,ketâb re be u dâdam
Kurdish,Southern Kurdish,Southern Kurdish,Manual,له مدت عمرم ایجو غذایله نخواردمه,در مدت عمرم همچین غذاهایی نخورده‌ام,I have never eaten such foods in my lifetime.,مِنِ كُلِ عُمرُم ايطور غذایی نخُوَردَمِ,mene kole omrom itor ghazāi nakhowardam,من عمرم چنن غذی نخردمه,men omrom chenen ghazey nakhardameh,می عمر ایتا غذا نوخارده بام.,mi omr ita ghazā nokhārde bām.,دٍلَه عُمرین، چٍنین چیزایی نَخورچَن.,"dela omrin, chenin chizāyi nakhurchan.",له مدت عمرم ایجو غذایله نخواردمه,la meddate omrem iju ghazāyeyla nakhwārdema,dar tule amrom mobsa chomoei nkhārta,در تمام عمرم ایطور غذاها نخوردیم,من کلی زندگیم هنچی غذای نخورده‌م,man kolli zendegim hanchi qazāy nakhordaam,تو کل عمرُم همچی غذاهوی نخوردم,Tu kolle omrom hamchi ghazāhoy nakhordam,مغز مدادفشاری,maghz medâdfeshâri
Kurdish,Southern Kurdish,Southern Kurdish,https://t.me/s/Zwan_kurdi_kalhuri?before=100,مناڵەیل و ئات ئەیال چۊنن؟,اهل و عیال چطور هستند؟,How is the family doing?,اهل هوش چطورِن؟,ahle howsh chetoran,برو بونکو چطرن,boro bonku chetaran,تی زن و بچه چطورن؟,ti zano bache chetoren?,جٍنییَه وَچِه چٍطُوْرییَن؟,jeniya vache chetowriyan,مناڵەیل و ئات ئەیال چۊنن؟,menāleyl wa āto ayal chunen?,at o ayālod chinan?,فامیل چطور استن؟,اَهدا عیال چیطورن,ahdā ayāl chitoran,خانوم بچّا چیطورن؟,Khanum bachchā chitoran?,خُو گِرَوْ نِکِردَن,kho garow nekardan
Kurdish,Southern Kurdish,Southern Kurdish,Manual,دستان خوش ئەڕا ای کلیپه که پخش کردینه درباری کلاش هرسینی,دستتان درد نکند برای پخش این کلیپ درباره گیوه هرسینی,Thank you for sharing this clip about Hariseni Ghiwa.,دَستون بی بلا سی پخش ای فیلم سی گیوَ هرسينی.,daston bi balā si pakhshe i film si giva hersini,دستون درد نکنه سی ای کلیپ بابت گیوه هرسینی,dasetun dard nakeneh si I kilip bābate givah harsini,تی دست درد نکنه، این کلیپ گیوه هرسینیه پخش اَکوردی.,ti dast dard nakone in klipe giveh harsinie pakhsh akordi.,شٍما دَست دَردی نَکٍرِه بابٍتی پَخش واکٍردی اٍن کٍلیپین دَربارِه‌ای گیوِه‌یی هِرسینی,shemā dast dardi nakere bābeti pakhsh vākerdi en kelipin darbāreii giveyi hersini,دستان خوش ئەڕا ای کلیپه که پخش کردینه درباری کلاش هرسینی,dasedān khwash arrā i kilipa ke pakhsh kerdina darbārey kelāshe harsini,dashteto dard nakra māle pakhshe mo kelipe malekiye harsini,دست تان درد نکنه برای پخش ای کلیپ درباره گیوه هرسینی,دسّدون درد نکوند برا پخشی این کلیپ درباره گیوه هرسینی,dassedun dard nakune barā pakhshi in kilip darbāre give hersini,دسِّتون درد نکنه بری پخش ای کیلیپ دربارِی گیوِی هرسینی,Dassetun dard nakoneh barey pakhshe i kilip darbārey givey harsini,عل و توک,al o tok
Kurdish,Southern Kurdish,Southern Kurdish,Manual,ئاخ و داخ ‌‌ئەڕا میرات باوانمان که بێ پشتگیری که‌تێەسه پراوێز,ای داد و بیداد برای میراث پدرانمان که بی پشت و پناه مانده‌اند,Oh the cries for our ancestors' heritage that has been left without support.,وِيلَتِ سی ارثِ بوَمون كه بی کَس موندِنِ,veylate si erse bowamon  ke bi kas mondene,ای واویلا که ارث بوامون که بی پناه موندنه,ey vāveyla ke ers bowamon bi panāh mondeneh,ای داد و بیداد، امی پیرشانه میراث بی پشت و پناه بمانسه.,ay dādo bidād ami piyareshane mirās bi poshto panāh bemanese.,صِه داد و بیداد بٍرایی هَما پییٍرون کو بی پُشت و پٍناه بٍمُنچَن,se dād o bidād berāyi hamā piyerun ko bi posht o penā bemonchan,ئاخ و داخ ‌‌ئەڕا میراث باوانمان که بێ پشتگیری که‌تێەسه پراوێز,ākho dākh ārra mirāse bawaneman ke bi peshtgiri katiyasa perāwiz,ey dādo bidād māle arse sarāmun ge bi poshto panā nanan. ,ای داد و بیداد برای میراث پدرای ما که بی پشت و پناه ماندن,ای دادی بیدا برا میراثی پدرامون که بی‌کِس مونده‌ن,ey dādi bidād barā mirāsi pederamun ke bikes mundaan,ای داد و بیداد بری میراث پدرامون که بی پشت و پنا مُندن,Ey dādo bidād barey mirāse pedarāmun ke bi poshto pana mondan,تل وا تل کیدن,tel vâ tel kidan
Kurdish,Southern Kurdish,Southern Kurdish,Manual,اول باره بیشتریان دیونم,بیشترشان را اولین بار است که میبینم,This is the first time I am seeing most of them.,بيشترشونِ پِر اولِ ببينُم,bishtareshone per avale bebinom,بیشترشونه بار اولیه که ایبینوم,bishtareshuneh bāre avaliyeh ke ibinom,بیشترشانه اول دفعه وینُم.,bishtareshane aval dafa vinom.,ویشتٍرییون، اُوْلٍمین دَفَه‌یَه کو مِینون.,"vishteriyun, owlemin dafaya ko meynun.",اول باره بیشتریان دیونم,awal bāra bishteriān dunem,beshtariyāshun avalin karan gevine,بسیاری شانه بار اول اس که میبینم,بیشدرشونا اولین بارس که میبینم,bishtereshunā avvelin bāres ke mibinam,بیشترشونو اولین باره می‌بینم,Bishtareshuno avalin bāre mibinam,ور تریزش خورده,var terizesh khorde
Kurdish,Southern Kurdish,Southern Kurdish,Manual,ای گیان ئەڕا شارگمان,ای جان برای شهرمان,"Oh dear, for our city.",اِی جون سی شهرِمون,ey jon si shahremon,ای جون سی شهرمون,ey jun si shahremun,ای جان، امی شهره,ey jān ami shahre,اِی جان، هَما شَهری رَه.,"ey jān, hamā shahri ra.",ای گیان ئەڕا شارگمان,ey gyān arrā shāragamān,ey jun var shārmo,جانم فدای شهر ما,جون به این شَر,jun be in shaar,ای جونم بری شهرمون,Ey junom barey shahremun,ور دال پوشت,var dâl pusht
Kurdish,Southern Kurdish,Southern Kurdish,Manual,درود فره و ژنیل کورد له سراسر گیتی له کرماشان بگر تا کوردستان.,درود فراوان به زنان کورد سراسر دنیا از کرمانشاه گرفته تا کوردستان,Warm greetings to Kurdish women all around the world from Kermanshah to Kurdistan.,کلی سلام وَر زنون کُرد كل دنيا اَ كرمانشاه تا كُردستان,koli salām var zanon kord donyā a kermānshāh ta kordestān,درود فراوان و زنل کورد سراسر دنیا و کرمونشاه تا کردستون,dorud farāvān va zenele kord sarāsare donyā va kermunshāh tā kordestun,درود فراوان به کُردِ زنان سرتاسر دنیا، از کرمانشا بگیته تا کردستان,dorude ferāvān be korde zenan sartāsare donya az kermānshā begite tā kordestān,سٍلامی فٍراوُنی بٍر کُردی جٍنی، کٍرمُنشاه پی بَگیر تا کُردٍستان,"selāmi ferāvoni ber kordi jeni, kermonshā pi bagir tā kordestān",درود فره و ژنیل کورد له سراسر گیتی له کرماشان بگر تا کوردستان.,durude fera wa zheneyle kurd la sarāsare giti la kermāshān beger tā kurdessān,dorude farāvun be yanune korde sarāsare donyā az karmunshā frānta tā kordestun,سلام فراوان به زنان کورد سراسر دنیا از کرمانشاه گرفته تا کوردستان,سلاما درود به زنانی کوردی کلی دنیا از کرمونشا تا کردستان,salāmā dorud be zanāni kordi kolli donyā ez kermunshā tā kordestan,درود فراوون به زنوی کورد سر تا سر دنیا از کرمونشا گرفته تا کردستان,Dorude farāvun be zanoy korde sar tā sare donyā az kermunshā gerefteh ta kordestān,اوللو بدر کرد,ololu badr kard
Kurdish,Southern Kurdish,Southern Kurdish,Manual,هه‌ر وه‌خت نان کردیاد هاتیاد چڕیاده‌مان ئه‌ڕا ناو نانکه‌ر و ئیمه‌ مناڵه‌یل گشت وه‌ رزاره‌و نیشتیایمنه‌ شانێ و چه‌وه‌ڕێ وسیایم نانه‌ ساجیه‌گانێ له‌ وه‌رتاوه‌ برشته‌ بکه‌ێد و به‌ێده‌ ده‌سمانه‌و.,هروقت نان درست می‌کرد صدایمان میزد. ما بچه‌ها هم همگی به‌صف کنارش می‌نشستیم و چشم به راه می‌ماندیم تا نان روی ساج برشته می‌شد و به دست‌مان می‌داد.,"Whenever she made bread, she would call us. We, the kids, would all sit in line next to her and wait with our eyes on the bread until it was roasted on the pan and handed to us.",هر وقت نونِ پخت بُنگِمُنِ كُرد. اومون بچونَ قطار وَرِش بنِشستيم و منتظر بمونديم تا نون ری تُوَ بِبِريزِس و بِ داد دَسِمون,har vaght none pokht bongemone kor. owmon bachona ghatār varesh benshastim va montazer bemondim tā non ri towva beberizes va be dād dasemon,هر وقت که نون ایپخت بونگمون ایزد. ایما بچیل وصف تیش اینشسیم و تیمون و توه بی تا نون برشته وابو و بدن دستمون,har vaqt ke nun ipokht bongemun izad. Ima bachial vasaf teysh ineshesim va tiyamun va towve bi tā nun bereshteh vobu va bedan dasemun,هَروَخت نان دُرُست کَنه با، اَمره صِدا زَنه با. امی وَچِه‌یِشان هم هَمه اینه کِنارِ به صَف نیشِنه بیم و چِش دَوِسِنه بیم تا نانِ ساجه رو بِرِشته بابو و امی دَس بَرسه.,harvakh nān doros kane ba amere sedā zane ba. ami vachayshan ham hame ine kenar be saf nishene bim va chesh davesene bim ta nāne saje ru bereshte babu o ami das barese.,هَر وَخت نون مٍپٍتِش هَما صٍدا مٍکٍردِش. هَما زِکَه زَرییَن هَمَه ای رَج ژین پَلی مٍنییٍستین و چَش بٍه رِه مٍمُندین تا نون دیمَه ساجی بٍرٍشتَه وابو وُ هَما دَست اٍندِه.,har vakht nun mepetesh hamā sedā mekerdesh. hamā zeka zariyan hama i raj zhin pali meniyestin o chash be re memondin tā nun dima sāji bereshta vābu vo hamā dast ende.,هه‌ر وه‌خت نان کردیاد هاتیاد چڕیاده‌مان. ئیمه‌ مناڵه‌یل گشت وه‌ رزاره‌و نیشتیایمنه‌ شانێ و چه‌وه‌ڕێ وسیایم نانه‌ ساجیه‌گانێ له‌ وه‌رتاوه‌ برشته‌ بکه‌ێد و به‌ێده‌ ده‌سمانه‌و.,harwakht nān kerdiād hātiyād cherriyādamān. ima menāleyl gesht wa rrezārow nishtiaymena shāni wa chāwarri wesāyma nāna sājiagāni la war tāwa bereshta bekeid wa biyeyda dasemānow.,hār vakh nun shederese ka vājshamoka. mā vachegun ji hma veche nāshim o chame rāe manim tā nun ri towa breshta vebu omnedāshta,هر وقت نان پخته میکرد صدای ما میکرد. ما بچه ها هم کل ما به صف پهلویش میششتیم و چشم به راه میماندیم تا نان روی ساج بریان میشد و به دست ما میداد.,هروخ نون می‌پخ صدامون میزد. ما بچا وم همگی به‌صف میشسّیم کنارش آ چش به را می‌موندیم تا نون رو ساج برشته می‌شد آ می‌داد دسِّمون.,har vakh nun mipokh sedāmun mized. Mā bechāvam hamegi be saf  mishessim kenāresh ā chesh be rā mimundim tā nun ru sāj bereshte mishod ā midad dassemun,هر وقت نون دُرُس می‌کِرد صدامون می‌زد. ما بچّا هم همگی به‌صف کنارش می‌شنسّیم و چشم به را می‌مُندیم تا نون روی توه برشته می‌شد و می‌داد دسّمون.,Har vaght nun doros mikerd sedāmun mizad. Mā bachchā ham hamegi be saf kenāresh mishnessimo cheshm be rā mimondim tā nun ruye towe bereshte mishodo midād dassemun.,سیصد و دو,sist o do
Luri,Bakhtiari,Chaharmahali,https://www.tarafdari.com/node/1699552,بَر و آر,بردن و آوردن,Carrying and bringing,بُردِنُ و اُوُردِن,bowrdeno va owvorden,بردن و اوردن,bordano āvordan,ببِردَن و بیارِدَن,baberdan o biyārden,بٍبٍرد و بیارد,beberd o biyārd,بەڕدێنو هاوەڕدەن,berrdinu hāwerden,bārtvun o hārtvun,بردن و آوردن,بردن آ آوردن,bordanā ovordan,بردن و اُوُردن,Bordano ovordan,کفش شب رو,kafsh shab ru
Luri,Bakhtiari,Chaharmahali,https://www.tarafdari.com/node/1699552,لیک و لاک,داد و فریاد,Shouting and yelling,قيل و قال,ghil va ghal,قیل و قال,qilo qāl,داد و فَریاد,dād o faryād,داد و فٍریا,dād o feryā,دادۆ هاوار,dādu hāwār,dād o bidād,چیغ و فریاد,قال کردن,qāl kardan,داد و بیداد,Dādo bidād,عدل باش یره,adl bâsh yere
Luri,Bakhtiari,Chaharmahali,https://farsikhan.ir/%D8%AA%D9%85%D8%A7%D9%85-%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%D8%A7%D8%AA-%D8%AF%D8%B1%D9%85%D9%88%D8%B1%D8%AF-%DA%AF%D9%88%DB%8C%D8%B4-%D8%A8%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1%DB%8C/,خدا وا دیار ت ( دیار سرت) با,خدا نگهدار,Goodbye.,به اَمون خدا,be amone khodā,خدا پشت و پنات بو,khodā poshto panāt bu,خُدا تِره بِداره,khoda tere bedare,خُدا نیگٍهدار,khodā nigehdār,خۆدا نەگادارت,khodā negādāret,khzānegadār,خدا نگهدار,خدافظ,khodafez,خدا نگَدار,Khodā negadār,پِچ پِچ کردن,pech pech kardan
Luri,Bakhtiari,Chaharmahali,https://setare.com/fa/news/31251/%DB%B4%DB%B5-%D8%B6%D8%B1%D8%A8-%D8%A7%D9%84%D9%85%D8%AB%D9%84-%D8%A8%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1%DB%8C-%D9%87%D9%85%D8%B1%D8%A7%D9%87-%D8%A8%D8%A7-%D9%85%D8%B9%D9%86%DB%8C-%D9%88-%DA%A9%D8%A7%D8%B1%D8%A8%D8%B1%D8%AF-%D8%A2%D9%86-%D9%87%D8%A7/,ار نبو امری ز. حق، نیفته بلگی ز درخت.,اگر امر حضرت حق نباشد، برگی از درخت نمی‌افتد.,"If it is not the will of the Almighty, not a leaf falls from a tree.",اَر خدا نَخو، برگی اَ درخت نَم اُفتَه,ar khodā nakhowa bargi a derakht nam oftā,ای نه امر خدا بو برگی و درخت نیفته,ay na amre khodā bu bargi ve derakht niofteh,اَگَر حضرتِ حَقِّه اَمر نَبو، بَرگ از دِرَخت نَکَنه.,"agar hazrate haghe amr nabu, barg az derakht nakane.",اَگٍر اَمری حَضرٍتی حَقّي نَبو، اییَه وَلگَه دارین پی مَنٍکِه.,"ager amri hazreti haqqy nabu, iya valga dārin pi maneke.",ئەگەر خۆدا نێتەوێ، هۆچ بلگیگ و دارو نەکەفێد,"aga khodā nyatwey, huch balgig wa dārow nyakafed",agar amre khzā nabo pari az derakh naka,اگه امر حضرت حق نباشه، برگی از درخت نمیفته.,اگه خدا نخواد بلگ اِز درخ نیمیوفته,ege khodā nakhād balg ez darakh nimiyofte,اَی امر حضرت حق نباشه، برگ از درخت نَمیوفته.,"Ay amre hazrate haq nabāshe, barg az derakht namiofteh.",تیت و بر,tit o bar
